Time,compartment,s1,at,s2,s3,na,s4,s5,s6,s6o,k0,k1,k2,k31,k33,k32,k34,k4,k5,k6,k7,k8,k9,k10,atot,ntot,n,ki,v1,v2,v3,v4,v5,v7,v8,v9,v10,v6,v0
0.14,1.0,0.8187562382446661,1.953412791646409,5.234055531453244,0.5357600498912689,0.5707096464774537,0.5072286406846086,8.30327346770794,0.07236101296045425,0.023177930430739124,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,57.06368104665587,51.15684248813021,82.06876067805507,83.1015039728077,80.47947175361452,54.919553645155084,19.605203022091494,1.8562132707648429,18.463261354523617,62.0480033975044,50.0
0.1425,1.0,0.8033053847547944,1.9491748077430147,5.246119825514449,0.5373845249796027,0.5697847730187954,0.5054839721344065,8.309332365969048,0.07229039223860191,0.02315349214738121,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,56.53116802642345,51.29374420824179,82.22669956195014,83.04701181885598,80.54175263676701,54.69555816609945,19.710710438646544,1.85423443445913,18.44365594864317,62.12776967008592,50.0
0.145,1.0,0.7899400790298688,1.9492053373578229,5.255830947367774,0.5389839345729949,0.5689702952145681,0.5044139105521455,8.31488662165001,0.07222842700965046,0.02312989068191204,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,55.79564083474537,51.411974290041606,82.36369610227966,82.93274114682951,80.60052394989977,54.57689461680441,19.813069161947563,1.8522793717904968,18.426337534207764,62.20085501098087,50.0
0.1475,1.0,0.7791264035877385,1.9538951074662492,5.262785530496932,0.5405214099955193,0.5682946956850856,0.5041051396959162,8.319792797034445,0.07217742305452117,0.02310771439513194,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,54.86496380646199,51.50714328420419,82.47475510232142,82.75594844182469,80.65440023000508,54.57774944601904,19.909659987604687,1.8503912545529633,18.411951122901907,62.26519514217151,50.0
0.15,1.0,0.7712685333673855,1.9634800123076739,5.266651178915547,0.5419596136223555,0.5677854459708384,0.5046316231393677,8.323912795252845,0.07213964498372868,0.023087588080552123,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,53.75850140382371,51.57529819886994,82.55525263958913,82.51615941465792,80.70199013123411,54.70906300905498,19.997748754075186,1.8486171516105552,18.40114074727096,62.31875276883676,50.0
0.1525,1.0,0.7666852949663456,1.978014269906928,5.26718789246836,0.5432626449146762,0.5674676861902201,0.5060502894221063,8.327119900243668,0.0721172185025224,0.02307015622335049,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,52.50612502083692,51.613181553372364,82.60121083950611,82.2153909555955,80.74195411395259,54.97744034461487,20.07461076269879,1.84700704644417,18.39452133869121,62.35960896892868,50.0
0.155,1.0,0.7655943948699135,1.9973603483102171,5.2642613926687165,0.5443979260449544,0.5673629457800936,0.5083976547396736,8.329304267665059,0.07211203065815407,0.023056062432680952,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,51.14571630192621,51.61844134618993,82.60953952067331,81.85811711367745,80.77306303236357,55.384399557393984,20.137670203134046,1.845612497868039,18.392648354689467,62.38605476884295,50.0
0.1575,1.0,0.76810603794034,2.0211971122105523,5.2578468484587555,0.5453378322270732,0.5674880352469573,0.5116877575086125,8.330377326863651,0.07212563747495687,0.023045926258402363,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,49.71963478947276,51.58976164815343,82.57821427407212,81.45098417662099,80.79425139635106,55.92608975268608,20.18463947957208,1.8444849946144761,18.395988084552418,62.39667303551871,50.0
0.16,1.0,0.7742257892234888,2.049044105509831,5.248023383072854,0.5460608719575847,0.5678542128785029,0.515911544101208,8.33027477053813,0.07215918753782041,0.023040319034983495,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,48.27087159124658,51.526899114895805,82.50637188970526,81.00233697636392,80.80466007057741,56.59351914189546,20.2136422640987,1.843674100672189,18.40489170620794,62.39040234671856,50.0
0.1625,1.0,0.7838649420885911,2.080297212878529,5.234961303536166,0.5465523026063068,0.5684666866016996,0.5210376000581248,8.328958066068212,0.07221336766948687,0.023039740577975924,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,46.83961673793414,51.43062915411397,82.39431896577102,80.52165343998213,80.80366527421985,57.37323495427527,20.223306486640578,1.8432255227986796,18.419575688563846,62.36657779315826,50.0
0.165,1.0,0.7968557594153163,2.114269791113039,5.218904831130659,0.5468041629216813,0.5693244624946942,0.527013937066792,8.32641464202131,0.07228837357657324,0.023044598456149777,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,45.4607529995286,51.30262077465443,82.24346333540906,80.01898664213317,80.79089324086165,58.24832196059881,20.212818585841877,1.8431792462380738,18.440110159316607,62.32494764412674,50.0
0.1675,1.0,0.8129688322560603,2.150233714903844,5.200153163297501,0.5468147905096292,0.5704205099657675,0.5337704608033577,8.322657035214734,0.07238390509564313,0.023055191215995554,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,44.16247356972527,51.14526734508046,82.05618708865667,79.50448813050411,80.7662220276067,59.19955415116509,20.18193664974039,1.8435678764919823,18.466415670158796,62.26566829095005,50.0
0.17,1.0,0.8319302572792959,2.1874561376227315,5.179042176776162,0.5465879517344931,0.5717421865717355,0.5412217555938943,8.31772131928858,0.07249918316739859,0.023071696441594475,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,42.96593791076563,50.961501000315515,81.83568326720788,78.98804818994321,80.7297732415829,60.206544017307635,20.130965895470897,1.8444152972796444,18.49826770486784,62.18928207534531,50.0
