Time,chloroplast,cytosol,RuBP,PGA,TP,Ru5P,Pi,ATP,ADP,E_RuBisCO,totRuBP,TPc,Pic,V6,P_0,RuBisCO,PGA_red,TP_red,RuBP_reg,TPT,ATP_S
13.65,1.0,1.0,1.14290414308737,8.453722290762533,0.26773894696151174,0.2728245095694497,1.045574345921652,0.3044063590256676,1.1955936409743337,3.56,2.8278667738795926,0.2,1.4,5.8801285588795,16.0,1.3679950893516934,2.479038235756918,0.42646727781602817,1.2826017742422107,0.3555571168529303,3.737412484758948
13.825,1.0,1.0,1.1284344595478117,8.496892437929406,0.26626353291066235,0.27228856538174273,1.037330569277278,0.300430713820844,1.1995692861791576,3.56,2.8133970903400334,0.2,1.4,5.8801285588795,16.0,1.3617655182454824,2.4734329999144187,0.4250213127010558,1.278169662997536,0.3569017135336531,3.7284050761572303
14.0,1.0,1.0,1.1142830770182026,8.538881908941507,0.2648359577298819,0.2717688993477755,1.0293970591380008,0.2966247592219858,1.2033752407780158,3.56,2.7992457078104245,0.2,1.4,5.8801285588795,16.0,1.355640766434096,2.467967847996561,0.4236151776944798,1.2738578269835554,0.3581915848971645,3.7196173524822274
14.175,1.0,1.0,1.100451658068245,8.57970452934412,0.2634553918166846,0.2712653482145351,1.0217644490615103,0.2929817038422152,1.2070182961577869,3.56,2.7854142888604674,0.2,1.4,5.8801285588795,16.0,1.3496244340662131,2.462643535100168,0.4222486944783029,1.2696658274822856,0.35942865227360976,3.711050881580069
14.35,1.0,1.0,1.0869412186679352,8.619375121463994,0.2621209645853046,0.2707777312394112,1.0144235075796826,0.28949497621129194,1.2105050237887103,3.56,2.7719038494601573,0.2,1.4,5.8801285588795,16.0,1.3437196844258765,2.4574604471303294,0.4209216154849596,1.2655930210496598,0.3606147872053874,3.7027066625440277
14.525,1.0,1.0,1.0737521663536758,8.657909420721694,0.2608317690814946,0.2703058501843049,1.0073651417884977,0.2861582239322118,1.2138417760677904,3.56,2.758714797145898,0.2,1.4,5.8801285588795,16.0,1.3379292633331612,2.452418622066398,0.41963362787408953,1.2616385693751393,0.3617518130909333,3.694585149924893
14.7,1.0,1.0,1.060884336875912,8.69532399502466,0.259586866505961,0.26984948960492977,1.000580401633174,0.28296531189501223,1.2170346881049903,3.56,2.7458469676681316,0.2,1.4,5.8801285588795,16.0,1.3322555186682083,2.447517771384883,0.41838435765682475,1.2578014498427637,0.36284150642771695,3.686686279849788
14.875,1.0,1.0,1.0483370294267367,8.731636167218966,0.25838529061990956,0.2694084173927352,0.994060484631072,0.27991031969940455,1.2200896803005983,3.56,2.7332996602189565,0.2,1.4,5.8801285588795,16.0,1.3267004198827765,2.442757301527173,0.41717337392410303,1.254080466654317,0.3638855977393811,3.6790094976701635
15.05,1.0,1.0,1.036109040540141,8.766863940562525,0.2572260520097139,0.2689823855291101,0.9877967408151762,0.2769875384187536,1.223012461581249,3.56,2.7210716713323615,0.2,1.4,5.8801285588795,16.0,1.3212655773897235,2.43813633530077,0.4160001931380053,1.2504742623797613,0.36488577226077135,3.6715537867782393
15.225,1.0,1.0,1.0241986967495404,8.80102592717321,0.25610814219115213,0.2685711310140585,0.9817806777171033,0.27419146682094964,1.2258085331790527,3.56,2.7091613275417634,0.2,1.4,5.8801285588795,16.0,1.3159522617423869,2.4336537331055186,0.4148642834478916,1.246981329806245,0.36584367044405364,3.664317698252631
15.4,1.0,1.0,1.0126038860778728,8.834141279401054,0.2550305375369667,0.2681743769342958,0.9760039652408244,0.2715168071466755,1.228483192853327,3.56,2.6975665168700917,0.2,1.4,5.8801285588795,16.0,1.3107614225333288,2.4293081138807806,0.4137650689960943,1.2436000239644271,0.3667608883393601,3.6572993810175305
15.575,1.0,1.0,1.001322088425511,8.866229624072085,0.2539922030146523,0.26779183363860465,0.9704584403068616,0.2689584605323382,1.2310415394676644,3.56,2.6862847192177286,0.2,1.4,5.8801285588795,16.0,1.3056937069560166,2.4250978756756196,0.41270193418108925,1.2403285742193308,0.3676389778945334,3.650496612225003
